season,week,team_name,team_abbr,position,depth_chart_position,status,full_name,first_name,last_name,birth_date,college,years_exp,status_description_abbr,entry_year,ID
2019,17,Arizona Cardinals,ARI,DL,DT,Active,Corey Peters,Corey,Peters,6/8/88,Kentucky,9,A01,2010,Corey-Peters-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DE,NA,Andre Branch,Andre,Branch,NA,Clemson,NA,NA,NA,Andre-Branch-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,Active,Caraun Reid,Caraun,Reid,11/23/91,Princeton,5,A01,2014,Caraun-Reid-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,NT,Active,Zach Kerr,Zach,Kerr,8/29/90,Delaware,5,A01,2014,Zach-Kerr-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Rodney Gunter,Rodney,Gunter,1/19/92,Delaware State,NA,NA,NA,Rodney-Gunter-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Darius Philon,Darius,Philon,NA,Arkansas,NA,NA,NA,Darius-Philon-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DE,NA,Jonathan Bullard,Jonathan,Bullard,10/22/93,Florida,NA,NA,NA,Jonathan-Bullard-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Vincent Valentine,Vincent,Valentine,NA,Nebraska,NA,NA,NA,Vincent-Valentine-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DE,NA,Sterling Bailey,Sterling,Bailey,NA,Georgia,NA,NA,NA,Sterling-Bailey-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Pasoni Tasini,Pasoni,Tasini,NA,Utah,NA,NA,NA,Pasoni-Tasini-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Peli Anau,Peli,Anau,NA,Northern Arizona,NA,NA,NA,Peli-Anau-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Lyndon Johnson,Lyndon,Johnson,5/23/94,Cincinnati,NA,NA,NA,Lyndon-Johnson-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DT,NA,Lyndon Johnson,Lyndon,Johnson,5/23/94,Cincinnati,NA,NA,NA,Lyndon-Johnson-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DE,NA,Zach Allen,Zach,Allen,8/20/97,Boston College,NA,NA,NA,Zach-Allen-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,DE,Active,Michael Dogbe,Michael,Dogbe,5/5/96,Temple,0,A01,2019,Michael-Dogbe-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,NT,NA,Javier Edwards,Javier,Edwards,10/27/96,Colorado,NA,NA,NA,Javier-Edwards-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,NT,NA,Javier Edwards,Javier,Edwards,10/27/96,Colorado,NA,NA,NA,Javier-Edwards-ARI-2019
2019,17,Arizona Cardinals,ARI,DL,NT,Active,Miles Brown,Miles,Brown,9/4/97,Wofford,0,A01,2019,Miles-Brown-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,OLB,NA,Brooks Reed,Brooks,Reed,2/28/87,Arizona,NA,NA,NA,Brooks-Reed-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,OLB,Active,Chandler Jones,Chandler,Jones,2/27/90,Syracuse,7,A01,2012,Chandler-Jones-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Cassius Marsh,Cassius,Marsh,7/7/92,UCLA,5,A01,2014,Cassius-Marsh-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,MLB,Active,Jordan Hicks,Jordan,Hicks,6/27/92,Texas,4,A01,2015,Jordan-Hicks-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,MLB,Active,Joe Walker,Joe,Walker,12/11/92,Oregon,3,A01,2016,Joe-Walker-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Vontarrius Dora,Vontarrius,Dora,9/7/92,Louisiana Tech,3,A01,2016,Vontarrius-Dora-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,ILB,Active,Haason Reddick,Haason,Reddick,9/22/94,Temple,2,A01,2017,Haason-Reddick-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,NA,Tanner Vallejo,Tanner,Vallejo,12/16/94,Boise State,NA,NA,NA,Tanner-Vallejo-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,NA,Tanner Vallejo,Tanner,Vallejo,12/16/94,Boise State,NA,NA,NA,Tanner-Vallejo-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Kylie Fitts,Kylie,Fitts,10/11/94,Utah,1,A01,2018,Kylie-Fitts-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Keishawn Bierria,Keishawn,Bierria,7/26/95,Washington,1,A01,2018,Keishawn-Bierria-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Keishawn Bierria,Keishawn,Bierria,7/26/95,Washington,1,A01,2018,Keishawn-Bierria-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Keishawn Bierria,Keishawn,Bierria,7/26/95,Washington,1,A01,2018,Keishawn-Bierria-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Dennis Gardeck,Dennis,Gardeck,8/9/94,Sioux Falls,1,A01,2018,Dennis-Gardeck-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,Active,Zeke Turner,Zeke,Turner,6/9/96,Washington,1,A01,2018,Zeke-Turner-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,NA,Dante Booker,Dante,Booker,10/2/95,Ohio State,NA,NA,NA,Dante-Booker-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,NA,Jamey Mosley,Jamey,Mosley,3/28/96,Alabama,NA,NA,NA,Jamey-Mosley-ARI-2019
2019,17,Arizona Cardinals,ARI,LB,LB,NA,Jamey Mosley,Jamey,Mosley,3/28/96,Alabama,NA,NA,NA,Jamey-Mosley-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,C,Active,A.Q. Shipley,A.Q.,Shipley,5/22/86,Penn State,10,A01,2009,A.Q.-Shipley-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,OT,NA,Marcus Gilbert,Marcus,Gilbert,2/15/88,Florida,NA,NA,NA,Marcus-Gilbert-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,G,Active,J.R. Sweezy,J.R.,Sweezy,4/8/89,North Carolina State,7,A01,2012,J.R.-Sweezy-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,G,Active,Justin Pugh,Justin,Pugh,8/15/90,Syracuse,6,A01,2013,Justin-Pugh-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,T,NA,Jordan Mills,Jordan,Mills,12/24/90,Louisiana Tech,NA,NA,NA,Jordan-Mills-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,G,NA,Jeremy Vujnovich,Jeremy,Vujnovich,10/12/90,Louisiana College,NA,NA,NA,Jeremy-Vujnovich-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,OT,Active,D.J. Humphries,D.J.,Humphries,12/28/93,Florida,4,A01,2015,D.J.-Humphries-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,G,Active,Max Garcia,Max,Garcia,11/9/91,Florida,4,A01,2015,Max-Garcia-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,T,NA,Ian Silberman,Ian,Silberman,10/10/92,Boston College,NA,NA,NA,Ian-Silberman-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,OT,NA,Rees Odhiambo,Rees,Odhiambo,NA,Boise State,NA,NA,NA,Rees-Odhiambo-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,OT,Active,Justin Murray,Justin,Murray,4/19/93,Cincinnati,3,A01,2016,Justin-Murray-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,C,Active,Mason Cole,Mason,Cole,3/28/96,Michigan,1,A01,2018,Mason-Cole-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,G,NA,Sam Jones,Sam,Jones,2/21/96,Arizona State,NA,NA,NA,Sam-Jones-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,T,NA,Brett Toth,Brett,Toth,9/1/96,Army,NA,NA,NA,Brett-Toth-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,C,NA,Jacob Ohnesorge,Jacob,Ohnesorge,NA,South Dakota State,NA,NA,NA,Jacob-Ohnesorge-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,G,Active,Lamont Gaillard,Lamont,Gaillard,2/8/96,Georgia,0,A01,2019,Lamont-Gaillard-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,T,Active,Joshua Miles,Joshua,Miles,1/4/96,Morgan State,0,A01,2019,Joshua-Miles-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,T,NA,William Sweet,William,Sweet,4/29/97,North Carolina,NA,NA,NA,William-Sweet-ARI-2019
2019,17,Arizona Cardinals,ARI,OL,T,NA,Patrick Lawrence,Patrick,Lawrence,NA,Baylor,NA,NA,NA,Patrick-Lawrence-ARI-2019
2019,17,Arizona Cardinals,ARI,QB,QB,Active,Brett Hundley,Brett,Hundley,6/15/93,UCLA,4,A01,2015,Brett-Hundley-ARI-2019
2019,17,Arizona Cardinals,ARI,QB,QB,Active,Kyler Murray,Kyler,Murray,8/7/97,Oklahoma,0,A01,2019,Kyler-Murray-ARI-2019
2019,17,Arizona Cardinals,ARI,QB,QB,Active,Drew Anderson,Drew,Anderson,10/18/95,Murray State,0,A01,2019,Drew-Anderson-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,NA,Alfred Morris,Alfred,Morris,12/12/88,Florida Atlantic,NA,NA,NA,Alfred-Morris-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,Active,David Johnson,David,Johnson,12/16/91,Northern Iowa,4,A01,2015,David-Johnson-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,Active,Kenyan Drake,Kenyan,Drake,1/26/94,Alabama,3,A01,2016,Kenyan-Drake-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,Active,Kenyan Drake,Kenyan,Drake,1/26/94,Alabama,3,A01,2016,Kenyan-Drake-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,NA,D.J. Foster,D.J.,Foster,11/22/93,Arizona State,NA,NA,NA,D.J.-Foster-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,NA,Justin Davis,Justin,Davis,11/11/95,USC,NA,NA,NA,Justin-Davis-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,Active,Chase Edmonds,Chase,Edmonds,4/13/96,Fordham,1,A01,2018,Chase-Edmonds-ARI-2019
2019,17,Arizona Cardinals,ARI,RB,RB,NA,Dontae Strickland,Dontae,Strickland,NA,Syracuse,NA,NA,NA,Dontae-Strickland-ARI-2019
2019,17,Arizona Cardinals,ARI,SPEC,P,Active,Andy Lee,Andy,Lee,8/11/82,Pittsburgh,15,A01,2004,Andy-Lee-ARI-2019
2019,17,Arizona Cardinals,ARI,SPEC,LS,Active,Aaron Brewer,Aaron,Brewer,7/5/90,San Diego State,7,A01,2012,Aaron-Brewer-ARI-2019
2019,17,Arizona Cardinals,ARI,SPEC,K,Active,Zane Gonzalez,Zane,Gonzalez,5/7/95,Arizona State,2,A01,2017,Zane-Gonzalez-ARI-2019
2019,17,Arizona Cardinals,ARI,SPEC,P,NA,Ryan Winslow,Ryan,Winslow,4/30/94,Pittsburgh,NA,NA,NA,Ryan-Winslow-ARI-2019
2019,17,Arizona Cardinals,ARI,TE,TE,Active,Charles Clay,Charles,Clay,2/13/89,Tulsa,8,A01,2011,Charles-Clay-ARI-2019
2019,17,Arizona Cardinals,ARI,TE,TE,Active,Maxx Williams,Maxx,Williams,4/12/94,Minnesota,4,A01,2015,Maxx-Williams-ARI-2019
2019,17,Arizona Cardinals,ARI,TE,TE,Active,Darrell Daniels,Darrell,Daniels,11/22/94,Washington,2,A01,2017,Darrell-Daniels-ARI-2019
2019,17,Arizona Cardinals,ARI,TE,TE,Active,Dan Arnold,Dan,Arnold,3/15/95,Wisconsin-Platteville,2,A01,2017,Dan-Arnold-ARI-2019
2019,17,Arizona Cardinals,ARI,TE,TE,Active,Dan Arnold,Dan,Arnold,3/15/95,Wisconsin-Platteville,2,A01,2017,Dan-Arnold-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Larry Fitzgerald,Larry,Fitzgerald,8/31/83,Pittsburgh,15,A01,2004,Larry-Fitzgerald-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,Michael Crabtree,Michael,Crabtree,9/14/87,Texas Tech,NA,NA,NA,Michael-Crabtree-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,Kevin White,Kevin,White,NA,West Virginia,NA,NA,NA,Kevin-White-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Damiere Byrd,Damiere,Byrd,1/27/93,South Carolina,4,A01,2015,Damiere-Byrd-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Pharoh Cooper,Pharoh,Cooper,3/7/95,South Carolina,3,A01,2016,Pharoh-Cooper-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Pharoh Cooper,Pharoh,Cooper,3/7/95,South Carolina,3,A01,2016,Pharoh-Cooper-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Christian Kirk,Christian,Kirk,11/18/96,Texas A&amp;M,1,A01,2018,Christian-Kirk-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,Saeed Blacknall,Saeed,Blacknall,3/17/96,Penn State,NA,NA,NA,Saeed-Blacknall-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Trent Sherfield,Trent,Sherfield,2/26/96,Vanderbilt,1,A01,2018,Trent-Sherfield-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,Andy Isabella,Andy,Isabella,11/18/96,Massachusetts,0,A01,2019,Andy-Isabella-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,Hakeem Butler,Hakeem,Butler,5/16/96,Iowa State,NA,NA,NA,Hakeem-Butler-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,Active,KeeSean Johnson,KeeSean,Johnson,10/9/96,Fresno State,0,A01,2019,KeeSean-Johnson-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,Johnnie Dixon,Johnnie,Dixon,9/16/94,Ohio State,NA,NA,NA,Johnnie-Dixon-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,A.J. Richardson,A.J.,Richardson,6/2/95,Boise State,NA,NA,NA,A.J.-Richardson-ARI-2019
2019,17,Arizona Cardinals,ARI,WR,WR,NA,Isaac Zico,Isaac,Zico,NA,Purdue,NA,NA,NA,Isaac-Zico-ARI-2019
2019,17,Atlanta Falcons,ATL,DB,CB,NA,Desmond Trufant,Desmond,Trufant,9/10/90,Washington,NA,NA,NA,Desmond-Trufant-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,NA,Johnathan Cyprien,Johnathan,Cyprien,7/29/90,Florida International,NA,NA,NA,Johnathan-Cyprien-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,NA,Johnathan Cyprien,Johnathan,Cyprien,7/29/90,Florida International,NA,NA,NA,Johnathan-Cyprien-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,Active,Jamar Taylor,Jamar,Taylor,9/29/90,Boise State,6,A01,2013,Jamar-Taylor-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,Active,Jamar Taylor,Jamar,Taylor,9/29/90,Boise State,6,A01,2013,Jamar-Taylor-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,Active,Blidi Wreh-Wilson,Blidi,Wreh-Wilson,12/5/89,Connecticut,6,A01,2013,Blidi-Wreh-Wilson-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,FS,NA,J.J. Wilcox,J.J.,Wilcox,2/14/91,Georgia Southern,NA,NA,NA,J.J.-Wilcox-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,FS,Active,Kemal Ishmael,Kemal,Ishmael,5/6/91,Central Florida,6,A01,2013,Kemal-Ishmael-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,Active,Ricardo Allen,Ricardo,Allen,12/18/91,Purdue,5,A01,2014,Ricardo-Allen-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SAF,NA,Ronald Martin,Ronald,Martin,NA,LSU,NA,NA,NA,Ronald-Martin-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,FS,NA,Keanu Neal,Keanu,Neal,7/26/95,Florida,NA,NA,NA,Keanu-Neal-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,Active,Sharrod Neasman,Sharrod,Neasman,10/14/91,Florida Atlantic,3,A01,2016,Sharrod-Neasman-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,NA,Taveze Calhoun,Taveze,Calhoun,12/26/92,Mississippi State,NA,NA,NA,Taveze-Calhoun-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,Active,Damontae Kazee,Damontae,Kazee,6/5/93,San Diego State,2,A01,2017,Damontae-Kazee-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,NA,Jalen Myrick,Jalen,Myrick,NA,Minnesota,NA,NA,NA,Jalen-Myrick-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,Active,Jamal Carter,Jamal,Carter,4/12/94,Miami,2,A01,2017,Jamal-Carter-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,Active,Isaiah Oliver,Isaiah,Oliver,9/30/96,Colorado,1,A01,2018,Isaiah-Oliver-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,SS,Active,Chris Cooper,Chris,Cooper,3/17/94,Stony Brook,1,A01,2018,Chris-Cooper-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,CB,NA,C.J. Reavis,C.J.,Reavis,11/27/95,Marshall,NA,NA,NA,C.J.-Reavis-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,DB,Active,Kendall Sheffield,Kendall,Sheffield,5/30/96,Ohio State,0,A01,2019,Kendall-Sheffield-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,DB,Active,Jordan Miller,Jordan,Miller,2/8/97,Washington,0,A01,2019,Jordan-Miller-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,DB,NA,Parker Baldwin,Parker,Baldwin,NA,San Diego State,NA,NA,NA,Parker-Baldwin-ATL-2019
2019,17,Atlanta Falcons,ATL,DB,DB,NA,Hamp Cheevers,Hamp,Cheevers,NA,Boston College,NA,NA,NA,Hamp-Cheevers-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,Active,Adrian Clayborn,Adrian,Clayborn,7/6/88,Iowa,8,A01,2011,Adrian-Clayborn-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,Active,Allen Bailey,Allen,Bailey,3/25/89,Miami,8,A01,2011,Allen-Bailey-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,Active,Jack Crawford,Jack,Crawford,9/7/88,Penn State,7,A01,2012,Jack-Crawford-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,NA,Steven Means,Steven,Means,9/16/90,Buffalo,NA,NA,NA,Steven-Means-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DT,NA,Stefan Charles,Stefan,Charles,NA,Regina (Canada),NA,NA,NA,Stefan-Charles-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DT,NA,Ra'Shede Hageman,Ra'Shede,Hageman,8/8/90,Minnesota,NA,NA,NA,Ra'Shede-Hageman-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,Active,Vic Beasley,Vic,Beasley,7/8/92,Clemson,4,A01,2015,Vic-Beasley-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DT,Active,Grady Jarrett,Grady,Jarrett,4/28/93,Clemson,4,A01,2015,Grady-Jarrett-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DT,Active,Tyeler Davison,Tyeler,Davison,9/3/92,Fresno State,4,A01,2015,Tyeler-Davison-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DT,NA,Michael Bennett,Michael,Bennett,2/24/93,Ohio State,NA,NA,NA,Michael-Bennett-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,NA,Takkarist McKinley,Takkarist,McKinley,11/2/95,UCLA,NA,NA,NA,Takkarist-McKinley-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,NA,Carroll Phillips,Carroll,Phillips,9/2/92,Illinois,NA,NA,NA,Carroll-Phillips-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,NA,Carroll Phillips,Carroll,Phillips,9/2/92,Illinois,NA,NA,NA,Carroll-Phillips-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,NT,Active,Deadrin Senat,Deadrin,Senat,7/22/94,South Florida,1,A01,2018,Deadrin-Senat-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DT,Active,Jacob Tuioti-Mariner,Jacob,Tuioti-Mariner,7/25/96,UCLA,1,A01,2018,Jacob-Tuioti-Mariner-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,Active,Austin Larkin,Austin,Larkin,4/6/95,Purdue,1,A01,2018,Austin-Larkin-ATL-2019
2019,17,Atlanta Falcons,ATL,DL,DE,Active,John Cominsky,John,Cominsky,11/22/95,"Charleston, W. Va.",0,A01,2019,John-Cominsky-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,ILB,NA,Bruce Carter,Bruce,Carter,NA,North Carolina,NA,NA,NA,Bruce-Carter-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,MLB,Active,Deion Jones,Deion,Jones,11/4/94,Louisiana State,3,A01,2016,Deion-Jones-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,OLB,Active,De'Vondre Campbell,De'Vondre,Campbell,7/1/93,Minnesota,3,A01,2016,De'Vondre-Campbell-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Richie Brown,Richie,Brown,4/15/94,Mississippi State,NA,NA,NA,Richie-Brown-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,ILB,Active,Ahmad Thomas,Ahmad,Thomas,12/15/94,Oklahoma,2,A01,2017,Ahmad-Thomas-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,ILB,Active,Ahmad Thomas,Ahmad,Thomas,12/15/94,Oklahoma,2,A01,2017,Ahmad-Thomas-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,Active,Foye Oluokun,Foye,Oluokun,8/2/95,Yale,1,A01,2018,Foye-Oluokun-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Quentin Poling,Quentin,Poling,8/17/94,Ohio U.,NA,NA,NA,Quentin-Poling-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Quentin Poling,Quentin,Poling,8/17/94,Ohio U.,NA,NA,NA,Quentin-Poling-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Yurik Bethune,Yurik,Bethune,NA,Alabama A&M,NA,NA,NA,Yurik-Bethune-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Tre' Crawford,Tre',Crawford,NA,Alabama-Birmingham,NA,NA,NA,Tre'-Crawford-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Durrant Miles,Durrant,Miles,NA,Boise State,NA,NA,NA,Durrant-Miles-ATL-2019
2019,17,Atlanta Falcons,ATL,LB,LB,NA,Chase Middleton,Chase,Middleton,NA,Georgia State,NA,NA,NA,Chase-Middleton-ATL-2019
2019,17,Atlanta Falcons,ATL,OL,C,Active,Alex Mack,Alex,Mack,11/19/85,California,10,A01,2009,Alex-Mack-ATL-2019
2019,17,Atlanta Falcons,ATL,OL,G,NA,James Carpenter,James,Carpenter,3/22/89,Alabama,NA,NA,NA,James-Carpenter-ATL-2019
