connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,week,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,season,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
2019_01_DEN_LV_James,2019_DEN_70_James,2019_01_DEN_LV,LV,DEN,REG,1,DEN,away,LV,LV,31,43717,844,844,2644,Half1,2,1,LV 31,10,"(14:04) 30-P.Lindsay left tackle to OAK 27 for 4 yards (24-J.Abram). DEN-70-J.James was injured during the play. His return is Questionable. PENALTY on DEN-65-R.Leary, Offensive Holding, 10 yards, enforced at OAK 31 - No Play.",J,James,DEN,70,contact,knee,pass blocker,2019,DEN,OL,OT,70,Active,Ja'Wuan James,Ja'Wuan,James,6/3/92,78,312,Tennessee,5,REG,Ja'Wuan,32004a41-4d21-8029-cd5c-4a092b767472,2014,1,Mon,9/9/19,22:20:00,Oakland Raiders,Denver Broncos,24,16,357,0,344,0,2019,FALSE,Oakland Raiders,Denver Broncos,LV,DEN,3,161,Bermuda Grass,Grass,Oakland Coliseum,FALSE,61.75,61.75,8.5,72.75,0,37.7567,-122.1931,39.5791,-104.83,943.6575276,0,0
2019_01_DEN_LV_Sutton,2019_DEN_14_Sutton,2019_01_DEN_LV,LV,DEN,REG,1,DEN,away,LV,DEN,51,43717,58,58,1858,Half1,2,1,DEN 49,10,"(:58) (No Huddle, Shotgun) 5-J.Flacco pass short middle to 28-R.Freeman to OAK 46 for 5 yards (55-V.Burfict). DEN-14-C.Sutton was injured during the play. His return is Questionable.",C,Sutton,DEN,14,contact,head/neck,pass reciever,2019,DEN,WR,WR,14,Active,Courtland Sutton,Courtland,Sutton,10/10/95,76,216,Southern Methodist,1,REG,Courtland,32005355-5433-3526-b2bf-88d6b83781c0,2018,1,Mon,9/9/19,22:20:00,Oakland Raiders,Denver Broncos,24,16,357,0,344,0,2019,FALSE,Oakland Raiders,Denver Broncos,LV,DEN,3,161,Bermuda Grass,Grass,Oakland Coliseum,FALSE,61.75,61.75,8.5,72.75,0,37.7567,-122.1931,39.5791,-104.83,943.6575276,0,0
2019_01_DET_ARI_Melvin,2019_DET_29_Melvin,2019_01_DET_ARI,ARI,DET,REG,1,ARI,home,DET,DET,38,43716,120,120,120,Half2,4,1,DET 38,10,(2:00) (Shotgun) 1-K.Murray pass short right to 19-K.Johnson to DET 38 for no gain (39-J.Agnew). DET-29-R.Melvin was injured during the play.,R,Melvin,DET,29,contact,lower body,pass rusher,2019,DET,DB,CB,29,Active,Rashaan Melvin,Rashaan,Melvin,10/2/89,74,196,Northern Illinois,6,REG,Rashaan,32004d45-4c73-6889-126e-93da4f401fdf,2013,1,Sun,9/8/19,16:25:00,Detroit Lions,Arizona Cardinals,27,27,477,2,387,1,2019,TRUE,Arizona Cardinals,Detroit Lions,ARI,DET,1,252,Bermuda Grass,Grass,State Farm Stadium,TRUE,98,99,7.25,29.5,0,33.5276,-112.2626,42.34,-83.0455,1694.403877,0,0
2019_01_HOU_NO_Williams,2019_NO_43_Williams,2019_01_HOU_NO,NO,HOU,REG,1,HOU,away,NO,HOU,75,43717,394,394,394,Half2,4,1,HOU 25,10,(6:34) (Shotgun) 25-D.Johnson right end to NO 43 for 32 yards (53-A.Klein). NO-43-M.Williams was injured during the play. His return is Probable.,M,Williams,NO,43,non contact,lower body,AFP,2019,NO,DB,FS,43,Active,Marcus Williams,Marcus,Williams,9/8/96,73,195,Utah,2,WC,Marcus,32005749-4c43-1161-de81-15fdfa2c6feb,2017,1,Mon,9/9/19,19:10:00,New Orleans Saints,Houston Texans,30,28,510,1,414,1,2019,FALSE,New Orleans Saints,Houston Texans,NO,HOU,1,180,FieldTurf Revolution 360,Turf,Caesars Superdome,TRUE,87.75,98.75,3.5,66.75,0,29.9514,-90.082,29.6849,-95.4106,319.9488287,0,0
2019_01_IND_LAC_Funchess,2019_IND_17_Funchess,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,LAC,19,43716,53,53,53,Half2,4,1,LAC 19,10,(:53) (Shotgun) 7-J.Brissett pass incomplete deep left to 17-D.Funchess. IND-17-D.Funchess was injured during the play. He is Out.,D,Funchess,IND,17,non contact,upper body,pass reciever,2019,IND,WR,WR,17,NA,Devin Funchess,Devin,Funchess,5/21/94,76,225,Michigan,4,REG,Devin,32004655-4e40-5541-3ae9-16d8a3a4b0c1,2015,1,Sun,9/8/19,16:05:00,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,2019,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,1805.66482,0,0
2019_01_IND_LAC_Ingram,2019_LAC_54_Ingram,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,IND,81,43716,207,1107,1107,Half2,3,2,IND 19,1,(3:27) 25-M.Mack right guard to IND 24 for 5 yards (58-T.Davis). LAC-54-M.Ingram was injured during the play.,M,Ingram,LAC,54,non contact,lower body,run defender,2019,LAC,DL,DE,54,Active,Melvin Ingram,Melvin,Ingram,4/26/89,74,247,South Carolina,7,REG,Melvin,3200494e-4766-7979-5ad7-72203eae4114,2012,1,Sun,9/8/19,16:05:00,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,2019,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,1805.66482,0,0
2019_01_IND_LAC_Ingram,2019_LAC_54_Ingram,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,LAC,34,43716,860,860,2660,Half1,2,1,LAC 34,10,(14:20) 7-J.Brissett scrambles right end to LAC 28 for 6 yards (31-A.Phillips). LAC-54-M.Ingram was injured during the play.,M,Ingram,LAC,54,non contact,upper body,tackler,2019,LAC,DL,DE,54,Active,Melvin Ingram,Melvin,Ingram,4/26/89,74,247,South Carolina,7,REG,Melvin,3200494e-4766-7979-5ad7-72203eae4114,2012,1,Sun,9/8/19,16:05:00,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,2019,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,1805.66482,0,0
2019_01_IND_LAC_Leonard,2019_IND_53_Leonard,2019_01_IND_LAC,LAC,IND,REG,1,LAC,home,IND,IND,22,43716,84,84,1884,Half1,2,1,IND 22,10,(1:24) (Shotgun) 17-P.Rivers pass incomplete short left to 30-A.Ekeler (53-D.Leonard). IND-53-D.Leonard was injured during the play.,D,Leonard,IND,53,contact,upper body,pass rusher,2019,IND,LB,LB,53,Active,Darius Leonard,Darius,Leonard,7/27/95,74,230,South Carolina State,1,REG,Darius,32004c45-4f42-5070-4a2a-35fd6c427af3,2018,1,Sun,9/8/19,16:05:00,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,2019,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,1805.66482,0,0
2019_01_IND_LAC_Square,2019_LAC_71_Square,2019_01_IND_LAC,LAC,IND,REG,1,IND,away,LAC,LAC,26,43716,707,1607,1607,Half2,3,2,LAC 26,7,(11:47) 21-N.Hines right end to LAC 26 for no gain (58-T.Davis). LAC-71-D.Square was injured during the play.,D,Square,LAC,71,contact,upper body,run defender,2019,LAC,DL,NT,71,Active,Damion Square,Damion,Square,2/6/89,74,293,Alabama,6,REG,Damion,32005351-5505-5371-124c-879b424d6164,2013,1,Sun,9/8/19,16:05:00,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,2019,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,1805.66482,0,0
2019_01_IND_LAC_Williams,2019_LAC_81_Williams,2019_01_IND_LAC,LAC,IND,REG,1,LAC,home,IND,IND,43,43716,642,642,642,Half2,4,2,IND 43,20,(10:42) (Shotgun) 17-P.Rivers pass deep middle to 81-M.Williams to IND 26 for 17 yards (35-P.Desir). LAC-81-M.Williams was injured during the play. His return is Questionable.,M,Williams,LAC,81,contact,lower body,ball carrier,2019,LAC,WR,WR,81,Active,Mike Williams,Michael,Williams,10/4/94,76,218,Clemson,2,REG,Mike,32005749-4c00-0009-75a2-9fccf6994099,2017,1,Sun,9/8/19,16:05:00,Los Angeles Chargers,Indianapolis Colts,30,24,435,2,376,0,2019,FALSE,Los Angeles Chargers,Indianapolis Colts,LAC,IND,6,167,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,73.25,73.5,6.75,64.5,0,33.8642,-118.261,39.7255,-86.2698,1805.66482,0,0
2019_01_LAR_CAR_Weddle,2019_LAR_32_Weddle,2019_01_LAR_CAR,CAR,LAR,REG,1,CAR,home,LA,CAR,72,43716,337,337,2137,Half1,2,2,CAR 28,9,(5:37) 1-C.Newton pass short right to 22-C.McCaffrey to CAR 33 for 5 yards (58-C.Littleton). LA-32-E.Weddle was injured during the play. His return is Doubtful.,E,Weddle,LAR,32,contact,head/neck,tackler,2019,LAR,DB,FS,32,Active,Eric Weddle,Eric,Weddle,1/4/85,71,195,Utah,12,REG,Eric,32005745-4429-0361-2ae4-59ca6faa52bc,2007,1,Sun,9/8/19,13:00:00,Los Angeles Rams,Carolina Panthers,30,27,349,1,343,3,2019,TRUE,Carolina Panthers,Los Angeles Rams,CAR,LAR,1,194,Bermuda Grass,Grass,Bank of America Stadium,FALSE,87.75,89.25,3.5,44.25,0,35.2256,-80.8513,33.8642,-118.261,2118.620065,0,0
2019_01_NYG_DAL_Hill,2019_NYG_95_Hill,2019_01_NYG_DAL,DAL,NYG,REG,1,DAL,home,NYG,DAL,69,43716,454,1354,3154,Half1,1,2,DAL 31,4,(7:34) (Shotgun) 4-D.Prescott pass incomplete short middle to 82-J.Witten (47-A.Ogletree). NYG-95-B.Hill was injured during the play. His return is Questionable.,B,Hill,NYG,95,contact,upper body,pass rusher,2019,NYG,DL,DT,95,Active,B.J. Hill,Bobby,Hill,4/20/95,75,311,North Carolina State,1,REG,B.J.,32004849-4c09-6836-ea69-de0cfcb8a2d9,2018,1,Sun,9/8/19,16:25:00,Dallas Cowboys,New York Giants,35,17,494,0,470,2,2019,FALSE,Dallas Cowboys,New York Giants,DAL,NYG,2,178,Hellas Matrix Turf,Turf,AT&T Stadium,TRUE,98.5,98.5,10.75,25.25,0,32.9049,-97.0359,40.8137,-74.0829,1376.31221,0,0
2019_01_NYG_DAL_Peppers,2019_NYG_21_Peppers,2019_01_NYG_DAL,DAL,NYG,REG,1,DAL,home,NYG,NYG,33,43716,140,140,1940,Half1,2,3,NYG 33,4,(2:20) (Shotgun) 4-D.Prescott left tackle to NYG 25 for 8 yards (21-J.Peppers). NYG-21-J.Peppers was injured during the play. His return is Questionable.,J,Peppers,NYG,21,contact,head/neck,tackler,2019,NYG,DB,FS,21,NA,Jabrill Peppers,Jabrill,Peppers,10/4/95,71,215,Michigan,2,REG,Jabrill,32005045-5042-0619-4e7d-a0d4df4a4ea7,2017,1,Sun,9/8/19,16:25:00,Dallas Cowboys,New York Giants,35,17,494,0,470,2,2019,FALSE,Dallas Cowboys,New York Giants,DAL,NYG,2,178,Hellas Matrix Turf,Turf,AT&T Stadium,TRUE,98.5,98.5,10.75,25.25,0,32.9049,-97.0359,40.8137,-74.0829,1376.31221,0,0
2019_01_PIT_NE_Calhoun,2019_NE_90_Calhoun,2019_01_PIT_NE,NE,PIT,REG,1,PIT,away,NE,PIT,83,43716,215,1115,2915,Half1,1,2,PIT 17,18,(3:35) (Shotgun) 7-B.Roethlisberger pass short middle to 11-D.Moncrief pushed ob at PIT 20 for 3 yards (30-J.McCourty). NE-90-S.Calhoun was injured during the play. His return is Probable.,S,Calhoun,NE,90,contact,ankle,pass rusher,2019,NE,LB,LB,90,Active,Shilique Calhoun,Shilique,Calhoun,3/20/92,76,260,Michigan State,3,WC,Shilique,32004341-4c42-2827-13a0-edfa592dfc47,2016,1,Sun,9/8/19,20:20:00,New England Patriots,Pittsburgh Steelers,33,3,465,0,308,1,2019,FALSE,New England Patriots,Pittsburgh Steelers,NE,PIT,3,178,FieldTurf CORE,Turf,Gillette Stadium,FALSE,62.5,62.5,3,67.75,0,42.0909,-71.2644,40.4467,-80.0158,468.2544168,0,0
2019_01_PIT_NE_Cannon,2019_NE_61_Cannon,2019_01_PIT_NE,NE,PIT,REG,1,NE,home,PIT,PIT,25,43716,490,490,490,Half2,4,1,PIT 25,10,"(8:10) 26-S.Michel right end to PIT 21 for 4 yards (97-C.Heyward, 55-D.Bush). NE-61-M.Cannon was injured during the play.",M,Cannon,NE,61,contact,upper body,run blocker,2019,NE,OL,T,61,Active,Marcus Cannon,Marcus,Cannon,5/6/88,78,335,Texas Christian,8,WC,Marcus,32004341-4e63-7002-b3ef-7da8eb5cdcda,2011,1,Sun,9/8/19,20:20:00,New England Patriots,Pittsburgh Steelers,33,3,465,0,308,1,2019,FALSE,New England Patriots,Pittsburgh Steelers,NE,PIT,3,178,FieldTurf CORE,Turf,Gillette Stadium,FALSE,62.5,62.5,3,67.75,0,42.0909,-71.2644,40.4467,-80.0158,468.2544168,0,0
2019_01_PIT_NE_Pouncey,2019_PIT_53_Pouncey,2019_01_PIT_NE,NE,PIT,REG,1,PIT,away,NE,PIT,75,43716,398,398,398,Half2,4,1,PIT 25,10,"(6:38) (Shotgun) 30-J.Conner right end to PIT 25 for no gain (58-J.Collins, 21-D.Harmon). PIT-53-M.Pouncey was injured during the play.",M,Pouncey,PIT,53,contact,lower body,run blocker,2019,PIT,OL,C,53,Active,Maurkice Pouncey,LaShawn,Pouncey,7/24/89,76,304,Florida,9,REG,Maurkice,3200504f-5555-0260-8405-cff1ca9c520a,2010,1,Sun,9/8/19,20:20:00,New England Patriots,Pittsburgh Steelers,33,3,465,0,308,1,2019,FALSE,New England Patriots,Pittsburgh Steelers,NE,PIT,3,178,FieldTurf CORE,Turf,Gillette Stadium,FALSE,62.5,62.5,3,67.75,0,42.0909,-71.2644,40.4467,-80.0158,468.2544168,0,0
2019_01_SF_TB_Davis,2019_TB_33_Davis,2019_01_SF_TB,TB,SF,REG,1,SF,away,TB,TB,39,43716,209,1109,1109,Half2,3,1,TB 39,10,(3:29) 10-J.Garoppolo pass incomplete short right to 11-M.Goodwin. TB-33-C.Davis was injured during the play. His return is Questionable.,C,Davis,TB,33,non contact,lower body,pass defender,2019,TB,DB,CB,33,Active,Carlton Davis,Carlton,Davis,12/31/96,73,206,Auburn,1,REG,Carlton,32004441-5622-0184-ef7c-ffcde714e0af,2018,1,Sun,9/8/19,16:25:00,San Francisco 49ers,Tampa Bay Buccaneers,31,17,256,2,295,4,2019,TRUE,Tampa Bay Buccaneers,San Francisco 49ers,TB,SF,2,175,Bermuda Grass,Grass,Raymond James Stadium,FALSE,89.75,98.25,5,57.25,0,27.9798,-82.495,37.4029,-121.9678,2367.183968,0,0
2019_01_SF_TB_Nunez-Roches,2019_TB_56_Nunez-Roches,2019_01_SF_TB,TB,SF,REG,1,SF,away,TB,TB,24,43716,326,326,2126,Half1,2,2,TB 24,3,(5:26) (Shotgun) 31-R.Mostert right guard to TB 24 for no gain (92-W.Gholston). TB-56-R.Nunez-Roches was injured during the play. His return is Questionable.,R,Nunez-Roches,TB,56,contact,upper body,run defender,2019,TB,DL,DT,56,Active,Rakeem Nunez-Roches,Rakeem,Nunez-Roches,7/3/93,74,307,Southern Mississippi,4,REG,Rakeem,32004e55-4e25-0521-92d6-3fde26feb3fc,2015,1,Sun,9/8/19,16:25:00,San Francisco 49ers,Tampa Bay Buccaneers,31,17,256,2,295,4,2019,TRUE,Tampa Bay Buccaneers,San Francisco 49ers,TB,SF,2,175,Bermuda Grass,Grass,Raymond James Stadium,FALSE,89.75,98.25,5,57.25,0,27.9798,-82.495,37.4029,-121.9678,2367.183968,0,0
