connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
2019_03_LV_MIN_Hankins,2019_LV_90_Hankins,2019_03_OAK_MIN,MIN,LV,REG,3,MIN,home,LV,MIN,66,43730,407,407,2207,Half1,2,2,MIN 34,1,(6:47) 25-A.Mattison right tackle to MIN 39 for 5 yards (96-C.Ferrell; 50-N.Morrow). OAK-90-J.Hankins was injured during the play.,J,Hankins,LV,90,contact,upper body,tackler,2019,LV,DL,DT,90,Active,Johnathan Hankins,Johnathan,Hankins,3/30/92,75,340,Ohio State,6,REG,Johnathan,32004841-4e16-9902-788f-c9022e21f3ed,2013,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
2019_03_LV_MIN_Lee,2019_LV_52_Lee,2019_03_OAK_MIN,MIN,LV,REG,3,MIN,home,LV,MIN,60,43730,760,1660,3460,Half1,1,1,MIN 40,10,(12:40) 33-D.Cook left tackle to MIN 45 for 5 yards (90-J.Hankins). OAK-52-M.Lee was injured during the play.,M,Lee,LV,52,contact,lower body,tackler,2019,LV,LB,MLB,52,NA,Marquel Lee,Marquel,Lee,10/21/95,75,235,Wake Forest,2,REG,Marquel,32004c45-4546-8103-24b7-5d050182cb10,2017,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
2019_03_LV_MIN_Morrow,2019_LV_50_Morrow,2019_03_OAK_MIN,MIN,LV,REG,3,MIN,home,LV,MIN,88,43730,700,1600,1600,Half2,3,2,MIN 12,6,(11:40) 8-K.Cousins pass short right to 33-D.Cook to MIN 12 for no gain (50-N.Morrow). MIN-64-J.Kline was injured during the play. OAK-50-N.Morrow was injured during the play.,N,Morrow,LV,50,contact,lower body,tackler,2019,LV,LB,ILB,50,Active,Nicholas Morrow,Nicholas,Morrow,7/10/95,72,225,Greenville,2,REG,Nicholas,32004d4f-5270-9781-eda2-89daaedb48f7,2017,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
2019_04_LV_IND_Hurst,2019_LV_73_Hurst,2019_04_OAK_IND,IND,LV,REG,4,IND,home,LV,LV,48,43737,89,89,89,Half2,4,2,LV 48,6,"(1:29) (No Huddle, Shotgun) 7-J.Brissett pass incomplete short middle to 11-D.Cain [98-M.Crosby]. OAK-73-M.Hurst was injured during the play.",M,Hurst,LV,73,contact,lower body,tackler,2019,LV,DL,DT,73,Active,Maurice Hurst,Maurice,Hurst,5/9/95,73,291,Michigan,1,REG,Maurice,32004855-5250-1348-cfd2-5bfb51dbc5bb,2018,Sun,9/29/19,13:00:00,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,TRUE,Indianapolis Colts,Oakland Raiders,IND,LV,3,189,Shaw Sports Momentum Pro,Turf,Lucas Oil Stadium,TRUE,77.75,80,2.75,75.25,0,39.7255,-86.2698,37.7567,-122.1931,1927.908601,7,7
2019_04_LV_IND_Rogers,2019_IND_80_Rogers,2019_04_OAK_IND,IND,LV,REG,4,IND,home,LV,IND,85,43737,148,148,148,Half2,4,1,IND 15,10,(2:28) (Shotgun) 7-J.Brissett pass incomplete short middle to 80-C.Rogers (50-N.Morrow). IND-80-C.Rogers was injured during the play.,C,Rogers,IND,80,contact,upper body,pass reciever,2019,IND,WR,WR,80,NA,Chester Rogers,Chester,Rogers,1/12/94,72,184,Grambling State,3,REG,Chester,3200524f-4714-6742-8aec-cfa06f6c3ab6,2016,Sun,9/29/19,13:00:00,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,TRUE,Indianapolis Colts,Oakland Raiders,IND,LV,3,189,Shaw Sports Momentum Pro,Turf,Lucas Oil Stadium,TRUE,77.75,80,2.75,75.25,0,39.7255,-86.2698,37.7567,-122.1931,1927.908601,7,7
2019_04_LV_IND_Stewart,2019_IND_90_Stewart,2019_04_OAK_IND,IND,LV,REG,4,LV,away,IND,LV,80,43737,327,327,327,Half2,4,1,LV 20,15,(5:27) (Shotgun) 28-J.Jacobs right end to OAK 36 for 16 yards (37-K.Willis). IND-90-G.Stewart was injured during the play.,G,Stewart,IND,90,contact,lower body,tackler,2019,IND,DL,DT,90,Active,Grover Stewart,Grover,Stewart,10/20/93,76,315,"Albany State, Ga.",2,REG,Grover,32005354-4575-7436-dbba-86ad2a2f4b3a,2017,Sun,9/29/19,13:00:00,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,TRUE,Indianapolis Colts,Oakland Raiders,IND,LV,3,189,Shaw Sports Momentum Pro,Turf,Lucas Oil Stadium,TRUE,77.75,80,2.75,75.25,0,39.7255,-86.2698,37.7567,-122.1931,1927.908601,7,7
2019_04_TB_LAR_Johnson,2019_LAR_43_Johnson,2019_04_TB_LAR,LAR,TB,REG,4,TB,away,LA,LA,40,43737,285,1185,1185,Half2,3,3,LA 40,10,(4:45) (Shotgun) 3-J.Winston pass incomplete deep middle to 10-S.Miller (32-E.Weddle). LA-43-J.Johnson was injured during the play. His return is Questionable.,J,Johnson,LAR,43,contact,head,pass defender,2019,LAR,DB,SS,43,NA,John Johnson,John,Johnson,12/19/95,72,209,Boston College,2,REG,John,32004a4f-4836-2641-9903-f7417c116857,2017,Sun,9/29/19,16:05:00,Tampa Bay Buccaneers,Los Angeles Rams,55,40,464,1,518,4,TRUE,Los Angeles Rams,Tampa Bay Buccaneers,LAR,TB,4,226,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,69.25,69.25,6.5,54,0,33.8642,-118.261,27.9798,-82.495,2147.625532,7,7
2019_04_TB_LAR_Rapp,2019_LAR_24_Rapp,2019_04_TB_LAR,LAR,TB,REG,4,TB,away,LA,LA,37,43737,100,1000,1000,Half2,3,2,LA 37,11,(1:40) (Shotgun) 27-R.Jones right end to LA 27 for 10 yards (24-T.Rapp; 56-D.Fowler). LA-24-T.Rapp was injured during the play. His return is Doubtful.,T,Rapp,LAR,24,contact,lower body,tackler,2019,LAR,DB,DB,24,Active,Taylor Rapp,Taylor,Rapp,12/22/97,72,208,Washington,0,REG,Taylor,32005241-5050-5098-ef4c-235f382d663d,2019,Sun,9/29/19,16:05:00,Tampa Bay Buccaneers,Los Angeles Rams,55,40,464,1,518,4,TRUE,Los Angeles Rams,Tampa Bay Buccaneers,LAR,TB,4,226,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,69.25,69.25,6.5,54,0,33.8642,-118.261,27.9798,-82.495,2147.625532,7,7
2019_05_CHI_LV_Hicks,2019_CHI_96_Hicks,2019_05_CHI_OAK,LV,CHI,REG,5,LV,home,CHI,CHI,28,43744,647,1547,3347,Half1,1,1,CHI 28,10,(10:47) 28-J.Jacobs left tackle to CHI 28 for no gain (97-N.Williams). CHI-96-A.Hicks was injured during the play. His return is Doubtful.,A,Hicks,CHI,96,contact,knee,run defender,2019,CHI,DL,DT,96,Active,Akiem Hicks,Akiem,Hicks,11/16/89,76,352,"Regina, Can.",7,REG,Akiem,32004849-4334-0209-678c-b8e5cd3a13ab,2012,Sun,10/6/19,13:00:00,Oakland Raiders,Chicago Bears,24,21,398,2,236,2,FALSE,Oakland Raiders,Chicago Bears,LV,CHI,2,174,Bermuda Grass,Grass,Oakland Coliseum,FALSE,58.75,58.75,14.25,65.25,0,37.7567,-122.1931,42.256,-87.8954,1829.005174,7,7
2019_05_CHI_LV_Key,2019_LV_99_Key,2019_05_CHI_OAK,LV,CHI,REG,5,CHI,away,LV,LV,47,43744,90,90,90,Half2,4,1,LV 47,10,(1:30) (Shotgun) 4-C.Daniel pass incomplete short right to 83-J.Wims. OAK-99-A.Key was injured during the play. His return is Questionable.,A,Key,LV,99,contact,knee,pass rusher,2019,LV,DL,DE,99,NA,Arden Key,Arden,Key,5/3/96,77,240,Louisiana State,1,REG,Arden,32004b45-5909-9037-774f-e67d2a30cb11,2018,Sun,10/6/19,13:00:00,Oakland Raiders,Chicago Bears,24,21,398,2,236,2,FALSE,Oakland Raiders,Chicago Bears,LV,CHI,2,174,Bermuda Grass,Grass,Oakland Coliseum,FALSE,58.75,58.75,14.25,65.25,0,37.7567,-122.1931,42.256,-87.8954,1829.005174,7,7
2019_05_LAR_SEA_Cooks,2019_LAR_12_Cooks,2019_05_LAR_SEA,SEA,LAR,REG,5,LA,away,SEA,LA,73,43741,775,775,775,Half2,4,3,LA 27,8,"(12:55) (Shotgun) 16-J.Goff pass deep right to 12-B.Cooks to SEA 44 for 29 yards (26-Sq.Griffin). LA-12-B.Cooks was injured during the play. Seattle challenged the play for possible offensive pass interference, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",B,Cooks,LAR,12,contact,head,pass reciever,2019,LAR,WR,WR,12,Active,Brandin Cooks,Brandin,Cooks,9/25/93,70,183,Oregon State,5,REG,Brandin,3200434f-4f29-9382-29e1-70020b0a09be,2014,Thu,10/3/19,20:20:00,Seattle Seahawks,Los Angeles Rams,30,29,429,1,477,2,FALSE,Seattle Seahawks,Los Angeles Rams,SEA,LAR,1,190,FieldTurf Revolution 360,Turf,Lumen Field,FALSE,54.25,54.25,5,78.75,0,47.5932,-122.3318,33.8642,-118.261,971.927993,4,4
2019_06_SF_LAR_Noteboom,2019_LAR_70_Noteboom,2019_06_SF_LAR,LAR,SF,REG,6,LA,home,SF,LA,70,43751,129,1029,2829,Half1,1,3,LA 30,6,"(2:09) (Shotgun) 16-J.Goff sacked at LA 25 for -5 yards (98-R.Blair III). LA-70-J.Noteboom was injured during the play. He is Out. LA #70 J.Noteboom. Knee Injury, he is out.",J,Noteboom,LAR,70,contact,lower body,run defender,2019,LAR,OL,T,70,NA,Joe Noteboom,Joe,Noteboom,6/19/95,77,321,Texas Christian,1,REG,Joe,32004e4f-5405-9326-71bf-6ca4d7f0dd6d,2018,Sun,10/13/19,16:05:00,San Francisco 49ers,Los Angeles Rams,20,7,331,2,157,1,TRUE,Los Angeles Rams,San Francisco 49ers,LAR,SF,3,176,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,72.75,72.75,6,49,0,33.8642,-118.261,37.4029,-121.9678,321.0665045,10,6
2019_06_SF_LAR_Sherman,2019_SF_25_Sherman,2019_06_SF_LAR,LAR,SF,REG,6,LA,home,SF,LA,75,43751,723,723,723,Half2,4,1,LA 25,10,"(12:03) (Shotgun) 16-J.Goff pass short right to 89-T.Higbee to LA 33 for 8 yards (56-K.Alexander, 25-R.Sherman). SF-25-R.Sherman was injured during the play. His return is Probable.",R,Sherman,SF,25,contact,lower body,tackler,2019,SF,DB,CB,25,Active,Richard Sherman,Richard,Sherman,3/30/88,75,195,Stanford,8,SB,Richard,32005348-4566-9604-dee9-7cd0f304c5df,2011,Sun,10/13/19,16:05:00,San Francisco 49ers,Los Angeles Rams,20,7,331,2,157,1,TRUE,Los Angeles Rams,San Francisco 49ers,LAR,SF,3,176,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,72.75,72.75,6,49,0,33.8642,-118.261,37.4029,-121.9678,321.0665045,10,6
2019_07_LAR_ATL_Ryan,2019_ATL_2_Ryan,2019_07_LAR_ATL,ATL,LAR,REG,7,ATL,home,LA,LA,28,43758,830,830,830,Half2,4,3,LA 28,10,"(13:50) (Shotgun) 2-M.Ryan sacked at LA 35 for -7 yards (99-A.Donald). FUMBLES (99-A.Donald) [99-A.Donald], RECOVERED by LA-99-A.Donald at LA 36. 99-A.Donald to LA 36 for no gain (2-M.Ryan). ATL-2-M.Ryan was injured during the play.",M,Ryan,ATL,2,contact,lower body,passer,2019,ATL,QB,QB,2,Active,Matt Ryan,Matthew,Ryan,5/17/85,76,217,Boston College,11,REG,Matt,32005259-4123-8179-1aae-5603693aba86,2008,Sun,10/20/19,13:00:00,Los Angeles Rams,Atlanta Falcons,37,10,381,0,224,3,TRUE,Atlanta Falcons,Los Angeles Rams,ATL,LAR,2,178,FieldTurf Revolution,Turf,Mercedes-Benz Stadium,TRUE,69.75,69.75,5.25,71.25,0,33.7551,-84.401,33.8642,-118.261,1935.040996,7,7
2019_07_LAR_ATL_Smith,2019_ATL_25_Smith,2019_07_LAR_ATL,ATL,LAR,REG,7,ATL,home,LA,LA,49,43758,14,914,2714,Half1,1,3,LA 49,10,(:14) (Shotgun) 2-M.Ryan pass incomplete deep left to 11-J.Jones. ATL-25-I.Smith was injured during the play.,I,Smith,ATL,25,contact,head,pass rusher,2019,ATL,RB,RB,25,NA,Ito Smith,Ito,Smith,9/11/95,69,195,Southern Mississippi,1,REG,Ito,3200534d-4934-2780-bc1f-aa0a71b0ad00,2018,Sun,10/20/19,13:00:00,Los Angeles Rams,Atlanta Falcons,37,10,381,0,224,3,TRUE,Atlanta Falcons,Los Angeles Rams,ATL,LAR,2,178,FieldTurf Revolution,Turf,Mercedes-Benz Stadium,TRUE,69.75,69.75,5.25,71.25,0,33.7551,-84.401,33.8642,-118.261,1935.040996,7,7
2019_07_LV_GB_Clark,2019_GB_97_Clark,2019_07_OAK_GB,GB,LV,REG,7,LV,away,GB,GB,17,43758,775,775,2575,Half1,2,1,GB 17,10,(12:55) 28-J.Jacobs up the middle to GB 14 for 3 yards (50-B.Martinez). GB-97-K.Clark was injured during the play. His return is Questionable.,K,Clark,GB,97,contact,lower body,pass blocker,2019,GB,DL,NT,97,Active,Kenny Clark,Kenneth,Clark,10/4/95,75,314,UCLA,3,CON,Kenny,3200434c-4140-9251-2f88-d454b8ae633b,2016,Sun,10/20/19,13:00:00,Green Bay Packers,Oakland Raiders,42,24,481,0,484,2,FALSE,Green Bay Packers,Oakland Raiders,GB,LV,2,166,Desso GrassMaster,Hybrid,Lambeau Field,FALSE,58,58,2.75,65.25,0,44.5011,-88.0623,37.7567,-122.1931,1822.022678,6,14
2019_07_LV_GB_Worley,2019_LV_20_Worley,2019_07_OAK_GB,GB,LV,REG,7,GB,home,LV,LV,29,43758,178,1078,1078,Half2,3,1,LV 29,10,(2:58) (Shotgun) 12-A.Rodgers pass deep left to 13-A.Lazard to OAK 3 for 26 yards (20-D.Worley). OAK-20-D.Worley was injured during the play.,D,Worley,LV,20,contact,lower body,pass blocker,2019,LV,DB,CB,20,Active,Daryl Worley,Daryl,Worley,2/22/95,73,215,West Virginia,3,REG,Daryl,3200574f-5261-6410-d895-940efbad622c,2016,Sun,10/20/19,13:00:00,Green Bay Packers,Oakland Raiders,42,24,481,0,484,2,FALSE,Green Bay Packers,Oakland Raiders,GB,LV,2,166,Desso GrassMaster,Hybrid,Lambeau Field,FALSE,58,58,2.75,65.25,0,44.5011,-88.0623,37.7567,-122.1931,1822.022678,6,14
2019_08_CIN_LAR_Cooks,2019_LAR_12_Cooks,2019_08_CIN_LAR,LAR,CIN,REG,8,LA,home,CIN,LA,57,43765,694,1594,3394,Half1,1,2,LA 43,8,(11:34) (Shotgun) 16-J.Goff pass incomplete deep left to 12-B.Cooks (30-J.Bates III). LA-12-B.Cooks was injured during the play. His return is Questionable.,B,Cooks,LAR,12,contact,head,pass reciever,2019,LAR,WR,WR,12,Active,Brandin Cooks,Brandin,Cooks,9/25/93,70,183,Oregon State,5,REG,Brandin,3200434f-4f29-9382-29e1-70020b0a09be,2014,Sun,10/27/19,13:00:00,Los Angeles Rams,Cincinnati Bengals,24,10,470,0,401,0,FALSE,Los Angeles Rams,Cincinnati Bengals,LAR,CIN,2,186,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,46.5,44.75,3.75,75.25,0,33.8642,-118.261,39.0964,-84.5164,1898.039327,7,7
