season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,college,years_exp,week,game_type,football_name,entry_year,player_id
2019,ARI,LB,LB,49,Active,Kylie Fitts,Kylie,Fitts,1994-10-11,Utah,1,17,REG,Kylie,2018,2019_Fitts_ARI
2019,ARI,LB,LB,44,Active,Keishawn Bierria,Keishawn,Bierria,1995-07-26,Washington,1,17,REG,Keishawn,2018,2019_Bierria_ARI
2019,ARI,LB,LB,42,Active,Dennis Gardeck,Dennis,Gardeck,1994-08-09,Sioux Falls,1,17,REG,Dennis,2018,2019_Gardeck_ARI
2019,ARI,LB,LB,47,Active,Zeke Turner,Ezekiel,Turner,1996-06-09,Washington,1,17,REG,Ezekiel,2018,2019_Turner_ARI
2019,ARI,LB,LB,51,NA,Dante Booker,Dante,Booker,1995-10-02,Ohio State,NA,17,REG,Dante,NA,2019_Booker_ARI
2019,ARI,LB,LB,49,NA,Jamey Mosley,Jamey,Mosley,1996-03-28,Alabama,NA,17,REG,Jamey,NA,2019_Mosley_ARI
2019,ARI,OL,C,53,Active,A.Q. Shipley,Allan,Shipley,1986-05-22,Penn State,10,17,REG,A.Q.,2009,2019_Shipley_ARI
2019,ARI,OL,OT,76,NA,Marcus Gilbert,Marcus,Gilbert,1988-02-15,Florida,8,17,REG,Marcus,2011,2019_Gilbert_ARI
2019,ARI,OL,G,64,Active,J.R. Sweezy,Justin,Sweezy,1989-04-08,North Carolina State,7,17,REG,J.R.,2012,2019_Sweezy_ARI
2019,ARI,OL,G,67,Active,Justin Pugh,Justin,Pugh,1990-08-15,Syracuse,6,17,REG,Justin,2013,2019_Pugh_ARI
2019,ARI,OL,T,79,NA,Jordan Mills,Jordan,Mills,1990-12-24,Louisiana Tech,6,17,REG,Jordan,2013,2019_Mills_ARI
2019,ARI,OL,G,68,NA,Jeremy Vujnovich,Jeremy,Vujnovich,1990-10-12,Louisiana College,6,17,REG,Jeremy,2013,2019_Vujnovich_ARI
2019,ARI,OL,OT,74,Active,D.J. Humphries,DeMarcus,Humphries,1993-12-28,Florida,4,17,REG,D.J.,2015,2019_Humphries_ARI
2019,ARI,OL,G,73,Active,Max Garcia,Max,Garcia,1991-11-09,Florida,4,17,REG,Max,2015,2019_Garcia_ARI
2019,ARI,OL,T,68,NA,Ian Silberman,Ian,Silberman,1992-10-10,Boston College,NA,17,REG,Ian,NA,2019_Silberman_ARI
2019,ARI,OL,OT,63,NA,Rees Odhiambo,Rees,Odhiambo,NA,Boise State,NA,17,REG,Rees,NA,2019_Odhiambo_ARI
2019,ARI,OL,OT,71,Active,Justin Murray,Justin,Murray,1993-04-19,Cincinnati,3,17,REG,Justin,2016,2019_Murray_ARI
2019,ARI,OL,C,52,Active,Mason Cole,Mason,Cole,1996-03-28,Michigan,1,17,REG,Mason,2018,2019_Cole_ARI
2019,ARI,OL,G,77,NA,Sam Jones,Sam,Jones,1996-02-21,Arizona State,NA,17,REG,Sam,NA,2019_Jones_ARI
2019,ARI,OL,T,78,NA,Brett Toth,Brett,Toth,1996-09-01,Army,1,17,REG,Brett,2018,2019_Toth_ARI
2019,ARI,OL,C,60,NA,Jacob Ohnesorge,Jacob,Ohnesorge,NA,South Dakota State,NA,17,REG,Jacob,NA,2019_Ohnesorge_ARI
2019,ARI,OL,G,65,Active,Lamont Gaillard,Lamont,Gaillard,1996-02-08,Georgia,0,17,REG,Lamont,2019,2019_Gaillard_ARI
2019,ARI,OL,T,66,Active,Joshua Miles,Joshua,Miles,1996-01-04,Morgan State,0,17,REG,Joshua,2019,2019_Miles_ARI
2019,ARI,OL,T,75,NA,William Sweet,William,Sweet,1997-04-29,North Carolina,NA,17,REG,William,NA,2019_Sweet_ARI
2019,ARI,OL,T,69,NA,Patrick Lawrence,Patrick,Lawrence,NA,Baylor,NA,17,REG,Patrick,NA,2019_Lawrence_ARI
2019,ARI,QB,QB,7,Active,Brett Hundley,Brett,Hundley,1993-06-15,UCLA,4,17,REG,Brett,2015,2019_Hundley_ARI
2019,ARI,QB,QB,1,Active,Kyler Murray,Kyler,Murray,1997-08-07,Oklahoma,0,17,REG,Kyler,2019,2019_Murray_ARI
2019,ARI,QB,QB,3,Active,Drew Anderson,Drew,Anderson,1995-10-18,Murray State,0,17,REG,Drew,2019,2019_Anderson_ARI
2019,ARI,RB,RB,36,NA,Alfred Morris,Alfred,Morris,1988-12-12,Florida Atlantic,7,17,REG,Alfred,2012,2019_Morris_ARI
2019,ARI,RB,RB,31,Active,David Johnson,David,Johnson,1991-12-16,Northern Iowa,4,17,REG,David,2015,2019_Johnson_ARI
2019,ARI,RB,RB,41,Active,Kenyan Drake,Kenyan,Drake,1994-01-26,Alabama,3,17,REG,Kenyan,2016,2019_Drake_ARI
2019,ARI,RB,RB,37,NA,D.J. Foster,D.J.,Foster,1993-11-22,Arizona State,3,17,REG,D.J.,2016,2019_Foster_ARI
2019,ARI,RB,RB,33,NA,Justin Davis,Justin,Davis,1995-11-11,USC,NA,17,REG,Justin,NA,2019_Davis_ARI
2019,ARI,RB,RB,29,Active,Chase Edmonds,Chase,Edmonds,1996-04-13,Fordham,1,17,REG,Chase,2018,2019_Edmonds_ARI
2019,ARI,RB,RB,34,NA,Dontae Strickland,Dontae,Strickland,NA,Syracuse,NA,17,REG,Dontae,NA,2019_Strickland_ARI
2019,ARI,SPEC,P,4,Active,Andy Lee,Andy,Lee,1982-08-11,Pittsburgh,15,17,REG,Andy,2004,2019_Lee_ARI
2019,ARI,SPEC,LS,46,Active,Aaron Brewer,Aaron,Brewer,1990-07-05,San Diego State,7,17,REG,Aaron,2012,2019_Brewer_ARI
2019,ARI,SPEC,K,5,Active,Zane Gonzalez,Zane,Gonzalez,1995-05-07,Arizona State,2,17,REG,Zane,2017,2019_Gonzalez_ARI
2019,ARI,SPEC,P,9,NA,Ryan Winslow,Ryan,Winslow,1994-04-30,Pittsburgh,1,17,REG,Ryan,2018,2019_Winslow_ARI
2019,ARI,TE,TE,85,Active,Charles Clay,Charles,Clay,1989-02-13,Tulsa,8,17,REG,Charles,2011,2019_Clay_ARI
2019,ARI,TE,TE,87,Active,Maxx Williams,Maxx,Williams,1994-04-12,Minnesota,4,17,REG,Maxx,2015,2019_Williams_ARI
2019,ARI,TE,TE,81,Active,Darrell Daniels,Darrell,Daniels,1994-11-22,Washington,2,17,REG,Darrell,2017,2019_Daniels_ARI
2019,ARI,TE,TE,82,Active,Dan Arnold,Daniel,Arnold,1995-03-15,Wisconsin-Platteville,2,17,REG,Dan,2017,2019_Arnold_ARI
2019,ARI,WR,WR,11,Active,Larry Fitzgerald,Larry,Fitzgerald,1983-08-31,Pittsburgh,15,17,REG,Larry,2004,2019_Fitzgerald_ARI
2019,ARI,WR,WR,15,NA,Michael Crabtree,Michael,Crabtree,1987-09-14,Texas Tech,10,17,REG,Michael,2009,2019_Crabtree_ARI
2019,ARI,WR,WR,18,NA,Kevin White,Kevin,White,NA,West Virginia,NA,17,REG,Kevin,NA,2019_White_ARI
2019,ARI,WR,WR,14,Active,Damiere Byrd,Damiere,Byrd,1993-01-27,South Carolina,4,17,REG,Damiere,2015,2019_Byrd_ARI
2019,ARI,WR,WR,12,Active,Pharoh Cooper,Pharoh,Cooper,1995-03-07,South Carolina,3,17,REG,Pharoh,2016,2019_Cooper_ARI
2019,ARI,WR,WR,13,Active,Christian Kirk,Christian,Kirk,1996-11-18,Texas A&amp;M,1,17,REG,Christian,2018,2019_Kirk_ARI
2019,ARI,WR,WR,80,NA,Saeed Blacknall,Saeed,Blacknall,1996-03-17,Penn State,NA,17,REG,Saeed,NA,2019_Blacknall_ARI
2019,ARI,WR,WR,16,Active,Trent Sherfield,Trent,Sherfield,1996-02-26,Vanderbilt,1,17,REG,Trent,2018,2019_Sherfield_ARI
2019,ARI,WR,WR,89,Active,Andy Isabella,Andrew,Isabella,1996-11-18,Massachusetts,0,17,REG,Andy,2019,2019_Isabella_ARI
2019,ARI,WR,WR,17,NA,Hakeem Butler,Hakeem,Butler,1996-05-16,Iowa State,NA,17,REG,Hakeem,NA,2019_Butler_ARI
2019,ARI,WR,WR,19,Active,KeeSean Johnson,KeeSean,Johnson,1996-10-09,Fresno State,0,17,REG,KeeSean,2019,2019_Johnson_ARI
2019,ARI,WR,WR,18,NA,Johnnie Dixon,Johnnie,Dixon,1994-09-16,Ohio State,NA,17,REG,Johnnie,NA,2019_Dixon_ARI
2019,ARI,WR,WR,83,NA,A.J. Richardson,A.J.,Richardson,1995-06-02,Boise State,NA,17,REG,A.J.,NA,2019_Richardson_ARI
2019,ARI,WR,WR,80,NA,Isaac Zico,Isaac,Zico,NA,Purdue,NA,17,REG,Isaac,NA,2019_Zico_ARI
2019,ATL,DB,CB,21,NA,Desmond Trufant,Desmond,Trufant,1990-09-10,Washington,6,17,REG,Desmond,2013,2019_Trufant_ATL
2019,ATL,DB,SS,32,NA,Johnathan Cyprien,Johnathan,Cyprien,1990-07-29,Florida International,6,17,REG,Johnathan,2013,2019_Cyprien_ATL
2019,ATL,DB,CB,43,Active,Jamar Taylor,Jamar,Taylor,1990-09-29,Boise State,6,17,REG,Jamar,2013,2019_Taylor_ATL
2019,ATL,DB,CB,33,Active,Blidi Wreh-Wilson,Blidi,Wreh-Wilson,1989-12-05,Connecticut,6,17,REG,Blidi,2013,2019_Wreh-Wilson_ATL
2019,ATL,DB,FS,29,NA,J.J. Wilcox,J.J.,Wilcox,1991-02-14,Georgia Southern,NA,17,REG,J.J.,NA,2019_Wilcox_ATL
2019,ATL,DB,FS,36,Active,Kemal Ishmael,Kemal,Ishmael,1991-05-06,Central Florida,6,17,REG,Kemal,2013,2019_Ishmael_ATL
2019,ATL,DB,SS,37,Active,Ricardo Allen,Ricardo,Allen,1991-12-18,Purdue,5,17,REG,Ricardo,2014,2019_Allen_ATL
2019,ATL,DB,SAF,32,NA,Ronald Martin,Ronald,Martin,NA,LSU,NA,17,REG,Ronald,NA,2019_Martin_ATL
2019,ATL,DB,FS,22,NA,Keanu Neal,Keanu,Neal,1995-07-26,Florida,3,17,REG,Keanu,2016,2019_Neal_ATL
2019,ATL,DB,SS,41,Active,Sharrod Neasman,Sharrod,Neasman,1991-10-14,Florida Atlantic,3,17,REG,Sharrod,2016,2019_Neasman_ATL
2019,ATL,DB,CB,39,NA,Taveze Calhoun,Taveze,Calhoun,1992-12-26,Mississippi State,NA,17,REG,Taveze,NA,2019_Calhoun_ATL
2019,ATL,DB,SS,27,Active,Damontae Kazee,Damontae,Kazee,1993-06-05,San Diego State,2,17,REG,Damontae,2017,2019_Kazee_ATL
2019,ATL,DB,CB,30,NA,Jalen Myrick,Jalen,Myrick,NA,Minnesota,NA,17,REG,Jalen,NA,2019_Myrick_ATL
2019,ATL,DB,SS,35,Active,Jamal Carter,Jamal,Carter,1994-04-12,Miami,2,17,REG,Jamal,2017,2019_Carter_ATL
2019,ATL,DB,CB,26,Active,Isaiah Oliver,Muhammad,Oliver,1996-09-30,Colorado,1,17,REG,Isaiah,2018,2019_Oliver_ATL
2019,ATL,DB,SS,34,Active,Chris Cooper,Christopher,Cooper,1994-03-17,Stony Brook,1,17,REG,Chris,2018,2019_Cooper_ATL
2019,ATL,DB,CB,38,NA,C.J. Reavis,C.J.,Reavis,1995-11-27,Marshall,NA,17,REG,C.J.,NA,2019_Reavis_ATL
2019,ATL,DB,DB,20,Active,Kendall Sheffield,Kendall,Sheffield,1996-05-30,Ohio State,0,17,REG,Kendall,2019,2019_Sheffield_ATL
2019,ATL,DB,DB,28,Active,Jordan Miller,Jordan,Miller,1997-02-08,Washington,0,17,REG,Jordan,2019,2019_Miller_ATL
2019,ATL,DB,DB,43,NA,Parker Baldwin,Parker,Baldwin,NA,San Diego State,NA,17,REG,Parker,NA,2019_Baldwin_ATL
2019,ATL,DB,DB,35,NA,Hamp Cheevers,Hamp,Cheevers,NA,Boston College,NA,17,REG,Hamp,NA,2019_Cheevers_ATL
2019,ATL,DL,DE,99,Active,Adrian Clayborn,Adrian,Clayborn,1988-07-06,Iowa,8,17,REG,Adrian,2011,2019_Clayborn_ATL
2019,ATL,DL,DE,93,Active,Allen Bailey,Allen,Bailey,1989-03-25,Miami,8,17,REG,Allen,2011,2019_Bailey_ATL
2019,ATL,DL,DE,95,Active,Jack Crawford,Jack,Crawford,1988-09-07,Penn State,7,17,REG,Jack,2012,2019_Crawford_ATL
2019,ATL,DL,DE,56,NA,Steven Means,Steven,Means,1990-09-16,Buffalo,NA,17,REG,Steven,NA,2019_Means_ATL
2019,ATL,DL,DT,66,NA,Stefan Charles,Stefan,Charles,NA,Regina (Canada),NA,17,REG,Stefan,NA,2019_Charles_ATL
2019,ATL,DL,DT,90,NA,Ra'Shede Hageman,Ra'Shede,Hageman,1990-08-08,Minnesota,NA,17,REG,Ra'Shede,NA,2019_Hageman_ATL
2019,ATL,DL,DE,44,Active,Vic Beasley,Victor,Beasley,1992-07-08,Clemson,4,17,REG,Vic,2015,2019_Beasley_ATL
2019,ATL,DL,DT,97,Active,Grady Jarrett,Grady,Jarrett,1993-04-28,Clemson,4,17,REG,Grady,2015,2019_Jarrett_ATL
2019,ATL,DL,DT,96,Active,Tyeler Davison,Tyeler,Davison,1992-09-03,Fresno State,4,17,REG,Tyeler,2015,2019_Davison_ATL
2019,ATL,DL,DT,93,NA,Michael Bennett,Michael,Bennett,1993-02-24,Ohio State,NA,17,REG,Michael,NA,2019_Bennett_ATL
2019,ATL,DL,DE,98,NA,Takkarist McKinley,Takkarist,McKinley,1995-11-02,UCLA,2,17,REG,Takkarist,2017,2019_McKinley_ATL
2019,ATL,DL,DE,58,NA,Carroll Phillips,Carroll,Phillips,1992-09-02,Illinois,2,17,REG,Carroll,2017,2019_Phillips_ATL
2019,ATL,DL,NT,94,Active,Deadrin Senat,Deadrin,Senat,1994-07-22,South Florida,1,17,REG,Deadrin,2018,2019_Senat_ATL
2019,ATL,DL,DT,91,Active,Jacob Tuioti-Mariner,Jacob,Tuioti-Mariner,1996-07-25,UCLA,1,17,REG,Jacob,2018,2019_Tuioti-Mariner_ATL
2019,ATL,DL,DE,55,Active,Austin Larkin,Austin,Larkin,1995-04-06,Purdue,1,17,REG,Austin,2018,2019_Larkin_ATL
2019,ATL,DL,DE,50,Active,John Cominsky,John,Cominsky,1995-11-22,"Charleston, W. Va.",0,17,REG,John,2019,2019_Cominsky_ATL
2019,ATL,LB,ILB,55,NA,Bruce Carter,Bruce,Carter,NA,North Carolina,NA,17,REG,Bruce,NA,2019_Carter_ATL
2019,ATL,LB,MLB,45,Active,Deion Jones,Deion,Jones,1994-11-04,Louisiana State,3,17,REG,Deion,2016,2019_Jones_ATL
2019,ATL,LB,OLB,59,Active,De'Vondre Campbell,De'Vondre,Campbell,1993-07-01,Minnesota,3,17,REG,De'Vondre,2016,2019_Campbell_ATL
2019,ATL,LB,LB,49,NA,Richie Brown,Richie,Brown,1994-04-15,Mississippi State,NA,17,REG,Richie,NA,2019_Brown_ATL
2019,ATL,LB,ILB,52,Active,Ahmad Thomas,Ahmad,Thomas,1994-12-15,Oklahoma,2,17,REG,Ahmad,2017,2019_Thomas_ATL
2019,ATL,LB,LB,54,Active,Foye Oluokun,Foyesade,Oluokun,1995-08-02,Yale,1,17,REG,Foyesade,2018,2019_Oluokun_ATL
2019,ATL,LB,LB,53,NA,Quentin Poling,Quentin,Poling,1994-08-17,Ohio U.,NA,17,REG,Quentin,NA,2019_Poling_ATL
2019,ATL,LB,LB,52,NA,Yurik Bethune,Yurik,Bethune,NA,Alabama A&M,NA,17,REG,Yurik,NA,2019_Bethune_ATL
2019,ATL,LB,LB,49,NA,Tre' Crawford,Tre',Crawford,NA,Alabama-Birmingham,NA,17,REG,Tre',NA,2019_Crawford_ATL
2019,ATL,LB,LB,48,NA,Durrant Miles,Durrant,Miles,NA,Boise State,NA,17,REG,Durrant,NA,2019_Miles_ATL
2019,ATL,LB,LB,35,NA,Chase Middleton,Chase,Middleton,NA,Georgia State,NA,17,REG,Chase,NA,2019_Middleton_ATL
2019,ATL,OL,C,51,Active,Alex Mack,Alex,Mack,1985-11-19,California,10,17,REG,Alex,2009,2019_Mack_ATL
2019,ATL,OL,G,77,NA,James Carpenter,James,Carpenter,1989-03-22,Alabama,8,17,REG,James,2011,2019_Carpenter_ATL
2019,ATL,OL,OG,72,NA,Adam Gettis,Adam,Gettis,NA,Iowa,NA,17,REG,Adam,NA,2019_Gettis_ATL
2019,ATL,OL,T,75,Active,John Wetzel,John,Wetzel,1991-07-18,Boston College,6,17,REG,John,2013,2019_Wetzel_ATL
2019,ATL,OL,T,70,Active,Jake Matthews,Jacob,Matthews,1992-02-11,Texas A&amp;M,5,17,REG,Jake,2014,2019_Matthews_ATL
2019,ATL,OL,T,74,Active,Ty Sambrailo,Tyler,Sambrailo,1992-03-10,Colorado State,4,17,REG,Ty,2015,2019_Sambrailo_ATL
2019,ATL,OL,G,68,Active,Jamon Brown,Jamon,Brown,1993-03-15,Louisville,4,17,REG,Jamon,2015,2019_Brown_ATL
2019,ATL,OL,G,71,Active,Wes Schweitzer,Weston,Schweitzer,1993-09-11,San Jose State,3,17,REG,Wes,2016,2019_Schweitzer_ATL
2019,ATL,OL,G,64,Active,Sean Harlow,Sean,Harlow,1995-03-28,Oregon State,2,17,REG,Sean,2017,2019_Harlow_ATL
2019,ATL,OL,OT,67,NA,Dieugot Joseph,Dieugot,Joseph,1994-03-21,Florida International,NA,17,REG,Dieugot,NA,2019_Joseph_ATL
2019,ATL,OL,T,73,Active,Matt Gono,Matthew,Gono,1996-05-10,Wesley,1,17,REG,Matt,2018,2019_Gono_ATL
2019,ATL,OL,T,71,NA,Anthony Coyle,Anthony,Coyle,1996-09-19,Fordham,NA,17,REG,Anthony,NA,2019_Coyle_ATL
2019,ATL,OL,G,63,Active,Chris Lindstrom,Christopher,Lindstrom,1997-02-08,Boston College,0,17,REG,Chris,2019,2019_Lindstrom_ATL
2019,ATL,OL,T,76,Active,Kaleb McGary,Kaleb,McGary,1995-02-22,Washington,0,17,REG,Kaleb,2019,2019_McGary_ATL
2019,ATL,OL,T,62,NA,Lukayus McNeil,Lukayus,McNeil,1994-10-13,Louisville,NA,17,REG,Lukayus,NA,2019_McNeil_ATL
2019,ATL,OL,C,61,NA,Chandler Miller,Chandler,Miller,NA,Tulsa,NA,17,REG,Chandler,NA,2019_Miller_ATL
2019,ATL,OL,T,65,NA,Jaelin Robinson,Jaelin,Robinson,NA,Temple,NA,17,REG,Jaelin,NA,2019_Robinson_ATL
2019,ATL,QB,QB,8,Active,Matt Schaub,Matt,Schaub,1981-06-25,Virginia,15,17,REG,Matt,2004,2019_Schaub_ATL
2019,ATL,QB,QB,2,Active,Matt Ryan,Matthew,Ryan,1985-05-17,Boston College,11,17,REG,Matt,2008,2019_Ryan_ATL
2019,ATL,QB,QB,9,NA,Matt Simms,Matt,Simms,1988-09-27,Tennessee,NA,17,REG,Matt,NA,2019_Simms_ATL
2019,ATL,QB,QB,1,NA,Danny Etling,Danny,Etling,1994-07-22,Louisiana State,1,17,REG,Danny,2018,2019_Etling_ATL
2019,ATL,QB,QB,6,NA,Kurt Benkert,Kurt,Benkert,1995-07-17,Virginia,NA,17,REG,Kurt,NA,2019_Benkert_ATL
2019,ATL,RB,RB,38,Active,Kenjon Barner,Kenjon,Barner,1989-04-28,Oregon,6,17,REG,Kenjon,2013,2019_Barner_ATL
2019,ATL,RB,RB,24,Active,Devonta Freeman,Devonta,Freeman,1992-03-15,Florida State,5,17,REG,Devonta,2014,2019_Freeman_ATL
2019,ATL,RB,FB,40,Active,Keith Smith,Alton,Smith,1992-04-08,San Jose State,5,17,REG,Keith,2014,2019_Smith_ATL
2019,ATL,RB,HB,23,Active,Brian Hill,Brian,Hill,1995-11-09,Wyoming,2,17,REG,Brian,2017,2019_Hill_ATL
2019,ATL,RB,RB,25,NA,Ito Smith,Ito,Smith,1995-09-11,Southern Mississippi,1,17,REG,Ito,2018,2019_Smith_ATL
2019,ATL,RB,RB,30,Active,Qadree Ollison,Qadree,Ollison,1996-09-08,Pittsburgh,0,17,REG,Qadree,2019,2019_Ollison_ATL
2019,ATL,RB,RB,48,NA,Craig Reynolds,Craig,Reynolds,1996-06-15,Kutztown,0,17,REG,Craig,2019,2019_Reynolds_ATL
2019,ATL,SPEC,K,3,NA,Matt Bryant,Matt,Bryant,1975-05-29,Baylor,17,17,REG,Matt,2002,2019_Bryant_ATL
2019,ATL,SPEC,P,5,NA,Matt Bosher,Matt,Bosher,1987-10-18,Miami (Fla.),8,17,REG,Matt,2011,2019_Bosher_ATL
2019,ATL,SPEC,K,16,NA,Blair Walsh,Blair,Walsh,NA,Georgia,NA,17,REG,Blair,NA,2019_Walsh_ATL
2019,ATL,SPEC,LS,47,Active,Josh Harris,Josh,Harris,1989-04-27,Auburn,7,17,REG,Josh,2012,2019_Harris_ATL
2019,ATL,SPEC,K,4,NA,Giorgio Tavecchio,Giorgio,Tavecchio,NA,California,NA,17,REG,Giorgio,NA,2019_Tavecchio_ATL
