connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season...30,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,season...60,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
2019_03_LV_MIN_Lee,2019_LV_52_Lee,2019_03_OAK_MIN,MIN,LV,REG,3,MIN,home,LV,MIN,60,43730,760,1660,3460,Half1,1,1,MIN 40,10,(12:40) 33-D.Cook left tackle to MIN 45 for 5 yards (90-J.Hankins). OAK-52-M.Lee was injured during the play.,M,Lee,LV,52,contact,lower body,tackler,2019,LV,LB,MLB,52,NA,Marquel Lee,Marquel,Lee,10/21/95,75,235,Wake Forest,2,REG,Marquel,32004c45-4546-8103-24b7-5d050182cb10,2017,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,2019,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
2019_03_LV_MIN_Morrow,2019_LV_50_Morrow,2019_03_OAK_MIN,MIN,LV,REG,3,MIN,home,LV,MIN,88,43730,700,1600,1600,Half2,3,2,MIN 12,6,(11:40) 8-K.Cousins pass short right to 33-D.Cook to MIN 12 for no gain (50-N.Morrow). MIN-64-J.Kline was injured during the play. OAK-50-N.Morrow was injured during the play.,N,Morrow,LV,50,contact,lower body,tackler,2019,LV,LB,ILB,50,Active,Nicholas Morrow,Nicholas,Morrow,7/10/95,72,225,Greenville,2,REG,Nicholas,32004d4f-5270-9781-eda2-89daaedb48f7,2017,Sun,9/22/19,13:00:00,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,2019,FALSE,Minnesota Vikings,Oakland Raiders,MIN,LV,5,159,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,64.75,64.75,6,68.25,0,44.9746,-93.2598,37.7567,-122.1931,1571.306873,7,7
2019_04_LV_IND_Hurst,2019_LV_73_Hurst,2019_04_OAK_IND,IND,LV,REG,4,IND,home,LV,LV,48,43737,89,89,89,Half2,4,2,LV 48,6,"(1:29) (No Huddle, Shotgun) 7-J.Brissett pass incomplete short middle to 11-D.Cain [98-M.Crosby]. OAK-73-M.Hurst was injured during the play.",M,Hurst,LV,73,contact,lower body,tackler,2019,LV,DL,DT,73,Active,Maurice Hurst,Maurice,Hurst,5/9/95,73,291,Michigan,1,REG,Maurice,32004855-5250-1348-cfd2-5bfb51dbc5bb,2018,Sun,9/29/19,13:00:00,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,2019,TRUE,Indianapolis Colts,Oakland Raiders,IND,LV,3,189,Shaw Sports Momentum Pro,Turf,Lucas Oil Stadium,TRUE,77.75,80,2.75,75.25,0,39.7255,-86.2698,37.7567,-122.1931,1927.908601,7,7
2019_04_LV_IND_Rogers,2019_IND_80_Rogers,2019_04_OAK_IND,IND,LV,REG,4,IND,home,LV,IND,85,43737,148,148,148,Half2,4,1,IND 15,10,(2:28) (Shotgun) 7-J.Brissett pass incomplete short middle to 80-C.Rogers (50-N.Morrow). IND-80-C.Rogers was injured during the play.,C,Rogers,IND,80,contact,upper body,pass reciever,2019,IND,WR,WR,80,NA,Chester Rogers,Chester,Rogers,1/12/94,72,184,Grambling State,3,REG,Chester,3200524f-4714-6742-8aec-cfa06f6c3ab6,2016,Sun,9/29/19,13:00:00,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,2019,TRUE,Indianapolis Colts,Oakland Raiders,IND,LV,3,189,Shaw Sports Momentum Pro,Turf,Lucas Oil Stadium,TRUE,77.75,80,2.75,75.25,0,39.7255,-86.2698,37.7567,-122.1931,1927.908601,7,7
2019_04_LV_IND_Stewart,2019_IND_90_Stewart,2019_04_OAK_IND,IND,LV,REG,4,LV,away,IND,LV,80,43737,327,327,327,Half2,4,1,LV 20,15,(5:27) (Shotgun) 28-J.Jacobs right end to OAK 36 for 16 yards (37-K.Willis). IND-90-G.Stewart was injured during the play.,G,Stewart,IND,90,contact,lower body,tackler,2019,IND,DL,DT,90,Active,Grover Stewart,Grover,Stewart,10/20/93,76,315,"Albany State, Ga.",2,REG,Grover,32005354-4575-7436-dbba-86ad2a2f4b3a,2017,Sun,9/29/19,13:00:00,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,2019,TRUE,Indianapolis Colts,Oakland Raiders,IND,LV,3,189,Shaw Sports Momentum Pro,Turf,Lucas Oil Stadium,TRUE,77.75,80,2.75,75.25,0,39.7255,-86.2698,37.7567,-122.1931,1927.908601,7,7
2019_05_CHI_LV_Hicks,2019_CHI_96_Hicks,2019_05_CHI_OAK,LV,CHI,REG,5,LV,home,CHI,CHI,28,43744,647,1547,3347,Half1,1,1,CHI 28,10,(10:47) 28-J.Jacobs left tackle to CHI 28 for no gain (97-N.Williams). CHI-96-A.Hicks was injured during the play. His return is Doubtful.,A,Hicks,CHI,96,contact,knee,run defender,2019,CHI,DL,DT,96,Active,Akiem Hicks,Akiem,Hicks,11/16/89,76,352,"Regina, Can.",7,REG,Akiem,32004849-4334-0209-678c-b8e5cd3a13ab,2012,Sun,10/6/19,13:00:00,Oakland Raiders,Chicago Bears,24,21,398,2,236,2,2019,FALSE,Oakland Raiders,Chicago Bears,LV,CHI,2,174,Bermuda Grass,Grass,Oakland Coliseum,FALSE,58.75,58.75,14.25,65.25,0,37.7567,-122.1931,42.256,-87.8954,1829.005174,7,7
2019_05_CHI_LV_Key,2019_LV_99_Key,2019_05_CHI_OAK,LV,CHI,REG,5,CHI,away,LV,LV,47,43744,90,90,90,Half2,4,1,LV 47,10,(1:30) (Shotgun) 4-C.Daniel pass incomplete short right to 83-J.Wims. OAK-99-A.Key was injured during the play. His return is Questionable.,A,Key,LV,99,contact,knee,pass rusher,2019,LV,DL,DE,99,NA,Arden Key,Arden,Key,5/3/96,77,240,Louisiana State,1,REG,Arden,32004b45-5909-9037-774f-e67d2a30cb11,2018,Sun,10/6/19,13:00:00,Oakland Raiders,Chicago Bears,24,21,398,2,236,2,2019,FALSE,Oakland Raiders,Chicago Bears,LV,CHI,2,174,Bermuda Grass,Grass,Oakland Coliseum,FALSE,58.75,58.75,14.25,65.25,0,37.7567,-122.1931,42.256,-87.8954,1829.005174,7,7
2019_07_LV_GB_Clark,2019_GB_97_Clark,2019_07_OAK_GB,GB,LV,REG,7,LV,away,GB,GB,17,43758,775,775,2575,Half1,2,1,GB 17,10,(12:55) 28-J.Jacobs up the middle to GB 14 for 3 yards (50-B.Martinez). GB-97-K.Clark was injured during the play. His return is Questionable.,K,Clark,GB,97,contact,lower body,pass blocker,2019,GB,DL,NT,97,Active,Kenny Clark,Kenneth,Clark,10/4/95,75,314,UCLA,3,CON,Kenny,3200434c-4140-9251-2f88-d454b8ae633b,2016,Sun,10/20/19,13:00:00,Green Bay Packers,Oakland Raiders,42,24,481,0,484,2,2019,FALSE,Green Bay Packers,Oakland Raiders,GB,LV,2,166,Desso GrassMaster,Hybrid,Lambeau Field,FALSE,58,58,2.75,65.25,0,44.5011,-88.0623,37.7567,-122.1931,1822.022678,6,14
2019_07_LV_GB_Worley,2019_LV_20_Worley,2019_07_OAK_GB,GB,LV,REG,7,GB,home,LV,LV,29,43758,178,1078,1078,Half2,3,1,LV 29,10,(2:58) (Shotgun) 12-A.Rodgers pass deep left to 13-A.Lazard to OAK 3 for 26 yards (20-D.Worley). OAK-20-D.Worley was injured during the play.,D,Worley,LV,20,contact,lower body,pass blocker,2019,LV,DB,CB,20,Active,Daryl Worley,Daryl,Worley,2/22/95,73,215,West Virginia,3,REG,Daryl,3200574f-5261-6410-d895-940efbad622c,2016,Sun,10/20/19,13:00:00,Green Bay Packers,Oakland Raiders,42,24,481,0,484,2,2019,FALSE,Green Bay Packers,Oakland Raiders,GB,LV,2,166,Desso GrassMaster,Hybrid,Lambeau Field,FALSE,58,58,2.75,65.25,0,44.5011,-88.0623,37.7567,-122.1931,1822.022678,6,14
2019_08_LV_HOU_Hudson,2019_LV_61_Hudson,2019_08_OAK_HOU,HOU,LV,REG,8,LV,away,HOU,LV,80,43765,361,1261,3061,Half1,1,1,LV 20,10,(6:01) 33-D.Washington left tackle to OAK 24 for 4 yards (92-B.Dunn). OAK-61-R.Hudson was injured during the play. His return is Probable.,R,Hudson,LV,61,contact,lower body,run blocker,2019,LV,OL,C,61,Active,Rodney Hudson,Rodney,Hudson,7/12/89,74,315,Florida State,8,REG,Rodney,32004855-4473-6504-5b3c-8616ce1867b3,2011,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,2019,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Johnson,2019_HOU_32_Johnson,2019_08_OAK_HOU,HOU,LV,REG,8,LV,away,HOU,LV,82,43765,320,320,2120,Half1,2,3,LV 18,20,(5:20) (Shotgun) 4-D.Carr pass short middle to 11-T.Davis to OAK 33 for 15 yards (32-L.Johnson). HOU-32-L.Johnson was injured during the play. His return is Probable.,L,Johnson,HOU,32,contact,upper body,tackler,2019,HOU,DB,DB,32,Active,Lonnie Johnson,Lonnie,Johnson,11/4/95,74,213,Kentucky,0,DIV,Lonnie,32004a4f-4800-0020-6142-473a18150e9b,2019,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,2019,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Mauro,2019_LV_97_Mauro,2019_08_OAK_HOU,HOU,LV,REG,8,HOU,home,LV,HOU,70,43765,507,1407,3207,Half1,1,1,HOU 30,10,(8:27) 23-C.Hyde left end to HOU 33 for 3 yards (59-T.Whitehead; 97-J.Mauro). OAK-97-J.Mauro was injured during the play. His return is Probable.,J,Mauro,LV,97,contact,unknown,tackler,2019,LV,DL,DE,97,Active,Josh Mauro,Josh,Mauro,2/17/91,78,290,Stanford,5,REG,Josh,32004d41-5564-0520-dec8-88f7b32eea0a,2014,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,2019,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Tunsil,2019_HOU_78_Tunsil,2019_08_OAK_HOU,HOU,LV,REG,8,HOU,home,LV,LV,49,43765,605,605,605,Half2,4,1,LV 49,10,(10:05) (Shotgun) 23-C.Hyde up the middle to OAK 44 for 5 yards (50-N.Morrow). HOU-78-L.Tunsil was injured during the play. His return is Probable.,L,Tunsil,HOU,78,unknown,not shown,run defender,2019,HOU,OL,T,78,Active,Laremy Tunsil,Laremy,Tunsil,8/2/94,77,313,Mississippi,3,DIV,Laremy,32005455-4e56-5442-704e-acb84ae7be26,2016,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,2019,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Watson,2019_HOU_4_Watson,2019_08_OAK_HOU,HOU,LV,REG,8,HOU,home,LV,LV,9,43765,394,394,394,Half2,4,1,LV 9,9,"(6:34) (Shotgun) 4-D.Watson pass short right to 87-D.Fells for 9 yards, TOUCHDOWN [98-M.Crosby]. HOU-4-D.Watson was injured during the play. His return is Probable.",D,Watson,HOU,4,contact,face,pass rusher,2019,HOU,QB,QB,4,Active,Deshaun Watson,Derrick,Watson,9/14/95,74,221,Clemson,2,DIV,Deshaun,32005741-5433-8355-e029-e49022cf4b81,2017,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,2019,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_09_DET_LV_Amendola,2019_DET_80_Amendola,2019_09_DET_OAK,LV,DET,REG,9,DET,away,LV,DET,65,43772,611,611,611,Half2,4,1,DET 35,10,(10:11) 9-M.Stafford pass incomplete deep right to 80-D.Amendola. DET-80-D.Amendola was injured during the play.,D,Amendola,DET,80,non contact,upper body,pass catcher,2019,DET,WR,WR,80,Active,Danny Amendola,Daniel,Amendola,11/2/85,71,185,Texas Tech,11,REG,Danny,3200414d-4535-9918-e336-c0dd118d7e30,2008,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,2019,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_09_DET_LV_Brown,2019_LV_77_Brown,2019_09_DET_OAK,LV,DET,REG,9,LV,home,DET,LV,57,43772,652,1552,3352,Half1,1,1,LV 43,10,(10:52) 28-J.Jacobs right tackle pushed ob at DET 40 for 17 yards (27-J.Coleman). OAK-77-T.Brown was injured during the play. He is Out.,T,Brown,LV,77,contact,lower body,run blocker,2019,LV,OL,T,77,NA,Trent Brown,Trent,Brown,4/13/93,80,380,Florida,4,REG,Trent,32004252-4f73-9325-7786-18cc8995e060,2015,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,2019,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_09_DET_LV_Hand,2019_DET_93_Hand,2019_09_DET_OAK,LV,DET,REG,9,LV,home,DET,DET,27,43772,659,1559,1559,Half2,3,3,DET 27,2,(10:59) (Shotgun) 4-D.Carr pass incomplete deep right to 16-T.Williams (29-R.Melvin). DET-93-D.Hand was injured during the play.,D,Hand,DET,93,contact,unknown,pass rusher,2019,DET,DL,DL,93,NA,Da'Shawn Hand,Da'Shawn,Hand,11/14/95,75,297,Alabama,1,REG,Da'Shawn,32004841-4e08-3056-e4d2-1b26ded29329,2018,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,2019,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_09_DET_LV_Hockenson,2019_DET_88_Hockenson,2019_09_DET_OAK,LV,DET,REG,9,DET,away,LV,DET,58,43772,82,82,82,Half2,4,2,DET 42,10,(1:22) (Shotgun) 9-M.Stafford pass incomplete deep middle to 88-T.Hockenson (25-E.Harris). DET-88-T.Hockenson was injured during the play.,T,Hockenson,DET,88,contact,head,pass catcher,2019,DET,TE,TE,88,NA,T.J. Hockenson,T.J.,Hockenson,7/3/97,77,247,Iowa,0,REG,T.J.,3200484f-4342-2041-c442-6c874885b155,2019,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,2019,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_10_LAC_LV_Ingram,2019_LAC_54_Ingram,2019_10_LAC_OAK,LV,LAC,REG,10,LV,home,LAC,LAC,18,43776,32,32,1832,Half1,2,2,LAC 18,10,(:32) (Shotgun) 4-D.Carr pass short right to 33-D.Washington to LAC 9 for 9 yards (49-D.Tranquill). LAC-54-M.Ingram was injured during the play. His return is Questionable.,M,Ingram,LAC,54,contact,head/ neck,AFP,2019,LAC,DL,DE,54,Active,Melvin Ingram,Melvin,Ingram,4/26/89,74,247,South Carolina,7,REG,Melvin,3200494e-4766-7979-5ad7-72203eae4114,2012,Thu,11/7/19,20:20:00,Oakland Raiders,Los Angeles Chargers,26,24,278,0,315,3,2019,FALSE,Oakland Raiders,Los Angeles Chargers,LV,LAC,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,54.75,54.75,5,74.5,0,37.7567,-122.1931,33.8642,-118.261,347.6122738,4,4
